ID,Name,Age,Course,Score
60,Anthony Newton,73,Course_1,73
61,Paul Wiley,29,Course_1,53
62,Becky Hines,48,Course_2,74
63,Anthony Lopez,35,Course_4,58
64,Ruth Ramsey,39,Course_1,73
65,Tiffany Green,78,Course_2,89
66,Jessica Munoz,63,Course_3,78
67,Alexander Conner,35,Course_1,65
68,Paula Patrick,62,Course_3,98
69,Joseph Vincent,25,Course_5,69
70,Matthew Reese,38,Course_5,92
71,Catherine Williams,69,Course_3,95
72,Holly Mccarty,39,Course_2,92
73,Mr. Ricardo Terry,20,Course_3,77
74,Jill Merritt,26,Course_3,56
75,Brittany Cardenas,45,Course_4,58
76,Joshua Barker,25,Course_1,60
77,Wayne Daniel,45,Course_3,67
78,Mrs. Lisa Thompson,34,Course_2,56
79,Becky Diaz,72,Course_4,63
80,Lisa Melton,74,Course_5,72
81,Lauren Taylor,53,Course_4,70
82,Francisco Moran,32,Course_2,52
83,Jonathan Allen,70,Course_1,59
84,Christopher Salazar,76,Course_3,79
85,Monica Hale,70,Course_2,77
86,Justin Martinez,78,Course_1,71
87,Ryan Ware,53,Course_1,78
88,Alicia Burnett,68,Course_2,65
89,Mr. Duane Rodriguez,68,Course_2,62
90,Judy Griffith,53,Course_1,72
91,Kayla Page,39,Course_5,84
92,Raymond Hicks,25,Course_5,67
93,Lisa Murphy,77,Course_3,60
94,Joseph Williams,62,Course_2,51
95,Laura Hernandez,50,Course_2,71
96,Douglas Parker,76,Course_1,71
97,Heather Manning,61,Course_4,95
98,Eric Gonzales,65,Course_3,53
99,Kathryn Robinson,70,Course_4,79
100,Robert Hoover,40,Course_4,98
101,Terri Daniel,48,Course_4,66
102,Martha Barrera,25,Course_5,91
103,Rhonda Carrillo,78,Course_4,58
104,Christopher Bird,78,Course_3,96
105,Rebecca Manning,25,Course_1,78
106,Roy Sutton,35,Course_3,53
107,Matthew Vaughn,68,Course_5,56
108,Angel Booth,39,Course_5,96
109,Bradley Black,57,Course_3,73
110,Mercedes Paul,32,Course_1,72
111,Amanda Lang,58,Course_2,81
112,John Roberts,24,Course_4,69
113,Scott Elliott,51,Course_5,58
114,Crystal Chang,32,Course_2,79
115,Robert Higgins,60,Course_3,73
116,Dr. Randall Ross Jr.,63,Course_4,93
117,Lisa Weeks,36,Course_1,65
118,Catherine Watts,23,Course_1,68
119,Jennifer Mitchell,52,Course_2,51
120,Kevin Smith,32,Course_4,96
121,Rita Gomez,72,Course_3,56
122,Amanda Swanson,42,Course_3,51
123,Shannon Glenn,24,Course_4,95
124,Chase Warner,41,Course_5,81
125,Randall Parrish,19,Course_4,59
126,Diane Howell,50,Course_4,64
127,Katherine Lin,54,Course_4,54
128,Katherine Malone,34,Course_3,81
129,Deborah White,66,Course_3,58
130,Gerald Harrison,34,Course_5,54
131,Juan White,42,Course_5,81
132,Elizabeth Adams,68,Course_3,69
133,Peter Stewart,50,Course_1,86
134,Jennifer Wilson,32,Course_2,81
135,Jessica Miller,49,Course_5,72
136,Michael Holmes,30,Course_3,93
137,Patricia Poole,19,Course_4,98
138,Jo Ortiz,29,Course_2,77
139,Chloe Gutierrez,38,Course_1,95
140,Veronica Morales,24,Course_3,88
141,Don Ruiz,78,Course_5,76
142,Jay Charles,79,Course_3,74
143,Wendy Wallace,26,Course_3,91
144,Ryan Ashley,67,Course_3,89
145,Leslie Vasquez,34,Course_1,91
146,Brian Hall,61,Course_2,69
147,Michael Rivera,33,Course_4,78
148,Ashley Contreras,38,Course_1,80
149,Sarah Kim,38,Course_4,74
150,Robert Cook,65,Course_2,73
151,Steven Holland,20,Course_2,62
152,Daniel Marshall,30,Course_4,89
153,Adam Morgan,30,Course_5,73
154,Clarence Fitzpatrick,64,Course_5,98
155,Olivia Williams,25,Course_1,69
156,Matthew Williams,30,Course_5,89
157,Michael Pineda,62,Course_2,72
158,Patricia Brooks,43,Course_2,59
159,Anthony Garza,56,Course_1,86
160,Ms. Deborah Kramer DDS,70,Course_2,85
161,Jerry Thompson,62,Course_3,71
162,Kevin Sloan,42,Course_2,79
163,Yolanda Sanchez,58,Course_5,57
164,Katie Gutierrez,46,Course_4,61
165,Meghan Carroll,59,Course_3,91
166,Jose Marshall,57,Course_3,67
167,Kevin Cannon,29,Course_3,55
168,John Nelson,27,Course_4,97
169,Dean Caldwell,24,Course_5,50
170,Matthew Atkinson,50,Course_2,61
171,Amy Campos,69,Course_5,97
172,Ronald Torres,23,Course_4,68
173,Elizabeth Doyle,66,Course_4,68
174,Jeff Mendez,39,Course_3,84
175,April Gonzalez,36,Course_5,86
176,Ricardo Phillips,51,Course_2,99
177,Joy Lopez,63,Course_3,65
178,Teresa Harris,51,Course_2,63
179,Catherine Fisher,61,Course_2,69
180,Jason Howell,76,Course_2,72
181,Gerald Allen,40,Course_2,76
182,Ashley Mejia,46,Course_5,71
183,Dylan Maldonado,18,Course_5,93
184,Joseph George,71,Course_3,53
185,Holly Pierce,18,Course_3,91
186,Robert Rogers,62,Course_1,70
187,Mr. Antonio Riddle,45,Course_1,90
188,Melissa Wilcox,51,Course_1,78
189,Lauren Brown,32,Course_4,65
190,Allison Hall,44,Course_1,52
191,Brenda Mendez,40,Course_2,99
192,Jamie Cobb,39,Course_3,86
193,Michael Green,40,Course_3,82
194,Julie Douglas,20,Course_4,66
195,Ariel Lucas,79,Course_4,72
196,James Kelley,27,Course_2,67
197,Emily Robertson,47,Course_2,92
198,James Johns,52,Course_3,54
199,Lisa Foley,72,Course_2,91
200,Travis Barrett,79,Course_3,86
201,Christopher Johnson,18,Course_3,63
202,Jonathan Ortega,24,Course_5,70
203,Nicole Price,66,Course_2,73
204,Crystal Pham,50,Course_5,89
205,Daniel Hammond,77,Course_1,82
206,Tina Mitchell,74,Course_5,84
207,Bernard May,65,Course_5,64
208,Amy Colon,42,Course_5,68
209,Joseph Horn,72,Course_2,65
210,Brittany Graves,20,Course_3,86
211,Andrea Bell,59,Course_2,74
212,David Ferguson,23,Course_3,89
213,Justin Hughes,32,Course_2,70
214,Mark Deleon,49,Course_5,75
215,Julia Underwood,20,Course_4,82
216,Jessica Lee,32,Course_1,82
217,Shannon Williams,30,Course_4,87
218,Jordan Castillo,49,Course_3,87
219,Billy Hubbard,43,Course_3,70
220,Caitlin Rowe,37,Course_4,93
221,Nicholas Barr,77,Course_5,99
222,William Hurst,57,Course_4,73
223,Virginia Armstrong,74,Course_5,61
224,Lisa Brooks,20,Course_1,50
225,Joanne Anderson,78,Course_5,58
226,John Thompson,18,Course_5,80
227,Kayla Walker MD,51,Course_4,69
228,Barbara Taylor,56,Course_5,78
229,Miss Allison Jennings,75,Course_2,74
230,James Werner,66,Course_4,60
231,Nicole Mendoza,43,Course_3,89
232,Diana Good,44,Course_5,61
233,Daniel Jones,58,Course_4,87
234,Dr. Anthony Cook,27,Course_4,55
235,Teresa Grant,31,Course_2,89
236,Ruth Hood,63,Course_1,57
237,Duane Fritz,31,Course_5,58
238,Angel Adkins,50,Course_1,99
239,Cathy Oneal,48,Course_4,62
240,Barbara Reed,49,Course_1,80
241,Angela Stephens,57,Course_3,77
242,Bryan Mason,48,Course_1,90
243,Bryan Hines,64,Course_4,90
244,Darlene Joseph,28,Course_3,50
245,Robert Russell,18,Course_4,69
246,Mr. Jason Parks PhD,79,Course_5,67
247,Natasha Frye,53,Course_3,71
248,Dylan Hanson,39,Course_1,61
249,John Coleman,73,Course_3,71
250,Mary Fernandez,69,Course_4,97
251,Hannah Griffin,43,Course_3,83
252,Michael Perez,26,Course_3,51
253,Kristy Gross,60,Course_5,77
254,Anthony Scott,70,Course_2,65
255,Shawn Grant,71,Course_4,99
256,Christy Thomas,53,Course_5,97
257,Kimberly Shaw,53,Course_4,54
258,Tina Butler,31,Course_4,58
259,Ryan Herrera,79,Course_1,74
260,Robert Evans,69,Course_1,63
261,Shannon Bryant,21,Course_2,55
262,Dr. Andrew Anderson,23,Course_4,91
263,Erik Dudley,33,Course_4,61
264,Sarah Simmons,54,Course_2,80
265,Alisha Burgess,53,Course_5,88
266,Jose Wright,52,Course_1,60
267,Jared Silva,29,Course_5,85
268,Adam Cunningham,43,Course_4,98
269,Justin Smith,71,Course_4,84
270,Richard Taylor,45,Course_2,74
271,Marcus Mullins,78,Course_3,69
272,Robert Mckinney,43,Course_4,50
273,Bryan Miller,41,Course_1,52
274,Patrick Murphy,79,Course_1,52
275,Melanie Flores,79,Course_5,81
276,Jessica Flynn,38,Course_3,51
277,Vanessa Daniel,73,Course_1,65
278,Monica Price,61,Course_3,73
279,Katie Singleton,34,Course_5,50
280,Leslie Kelly,56,Course_3,59
281,Matthew Evans MD,49,Course_5,81
282,Derek Sanford,31,Course_2,79
283,David Maldonado,74,Course_4,58
284,Mr. Ryan Robinson DVM,21,Course_1,67
285,Valerie Guzman,67,Course_5,53
286,Seth Nunez,70,Course_3,65
287,Stephanie Garcia,18,Course_3,76
288,Michelle Bailey,57,Course_5,78
289,Cody Gonzalez,45,Course_1,69
290,Robert Santos,64,Course_1,60
291,Douglas Mills,33,Course_3,94
292,David Powell,43,Course_1,90
293,Jacqueline Hunt,75,Course_4,57
294,Brenda Miller,64,Course_2,58
295,Melissa Mason,36,Course_5,67
296,Lynn Lopez,71,Course_1,64
297,Stacey Lopez,24,Course_2,93
298,Joseph Hernandez,20,Course_2,52
299,Teresa Hooper,34,Course_2,94
300,Caleb Lewis,53,Course_4,53
301,Brian Price,39,Course_3,62
302,Julie Hernandez,53,Course_1,58
303,Lydia Smith,42,Course_1,75
304,Aaron Vaughn,22,Course_4,92
305,Christopher Kerr,52,Course_1,58
306,Deborah Henderson,66,Course_3,84
307,Tanya Fernandez,57,Course_2,95
308,William Simmons,59,Course_3,95
309,Jacqueline Brown,44,Course_3,98
310,Michelle Bentley,47,Course_3,79
311,Justin Kane,26,Course_4,91
312,Elizabeth Stuart,18,Course_2,56
313,Bethany Morgan,73,Course_1,80
314,Scott Miller,21,Course_5,85
315,Charles Benson,18,Course_2,80
316,Vanessa George,30,Course_5,50
317,Matthew Hudson,70,Course_1,88
318,Sherry Carlson,34,Course_5,96
319,Kayla Thompson,41,Course_1,94
320,Joshua Wolfe,76,Course_5,88
321,Anna Donaldson,23,Course_4,81
322,Eric Brown DDS,42,Course_3,86
323,Mr. David Christian,65,Course_3,83
324,Mary Johnson,43,Course_1,95
325,Juan Pugh,56,Course_3,68
326,Katie Richardson,78,Course_1,96
327,Anthony Harper,66,Course_4,75
328,John Gonzalez,56,Course_4,62
329,Lisa Kim,76,Course_5,86
330,Jonathan Williams,45,Course_1,77
331,Steve Mayer,79,Course_4,70
332,Sarah Glover,48,Course_1,98
333,Teresa Davis,43,Course_3,57
334,Mr. Paul Douglas,51,Course_3,98
335,Heather Barnes,55,Course_2,62
336,Eric Wolf,56,Course_2,86
337,Kelly Harris,79,Course_3,56
338,Edward Walker,52,Course_3,55
339,Gina Ayala,49,Course_3,70
340,Leslie Wells,25,Course_3,98
341,Brianna Woods,62,Course_2,61
342,Lauren Lewis,22,Course_5,96
343,Harold Christensen,23,Course_1,72
344,Cole Martin,65,Course_1,55
345,Jeffrey White,37,Course_1,83
346,Billy Barber,70,Course_1,94
347,Dana Miles,50,Course_4,77
348,Brian Morrison,40,Course_5,92
349,Zachary Davis,33,Course_5,62
350,Mark Medina,58,Course_4,59
351,Michelle Roach,53,Course_5,87
352,Laura Miller,30,Course_1,82
353,Gregory Jensen,73,Course_2,90
354,Sandra Solis,71,Course_1,78
355,April Buck,63,Course_2,94
356,David Arnold,60,Course_5,57
357,Robert Lewis,69,Course_4,50
358,Tiffany Burton,65,Course_2,50
359,Judy Green,70,Course_5,60
360,Frank Nichols,40,Course_1,59
361,Derek Parker,23,Course_4,74
362,Robert Brown,25,Course_2,75
363,Rebecca Hughes,57,Course_3,85
364,Natalie Alexander,75,Course_5,60
365,Jennifer Cline,40,Course_2,69
366,Joseph Poole,22,Course_1,80
367,Monica Lopez,45,Course_3,69
368,Richard Sanchez,59,Course_2,69
369,Michael Becker,38,Course_2,57
370,Melissa Salazar,42,Course_5,66
371,Crystal Morton,42,Course_5,94
372,Rachel Mcdonald,76,Course_5,77
373,Dylan Butler,41,Course_3,56
374,Gerald Turner,31,Course_4,73
375,Miss Jacqueline Jefferson,42,Course_1,90
376,Gabriel Young,55,Course_5,71
377,Kyle Davis,65,Course_1,72
378,Erin Fleming,79,Course_4,86
379,Christina Ortega,44,Course_3,68
380,Jesus Robinson,31,Course_5,95
381,Marissa White,50,Course_1,85
382,Brian Wheeler,51,Course_4,54
383,Katrina Gonzalez,35,Course_3,99
384,Mrs. Tara Santiago,39,Course_5,72
385,George Alexander,47,Course_4,90
386,Summer Williams,48,Course_3,92
387,Ryan Mcconnell,30,Course_1,97
388,Jonathan Guzman,34,Course_4,86
389,Crystal Brewer,73,Course_3,76
390,Christy Hubbard,73,Course_4,83
391,William Johnson,44,Course_2,86
392,Kimberly Rice,63,Course_3,63
393,Philip Goodman,54,Course_4,63
394,James Schwartz,59,Course_5,78
395,Wesley Myers,32,Course_5,59
396,Diana Collier,37,Course_3,54
397,Joseph Griffin,41,Course_1,77
398,Donna Kelly,67,Course_1,66
399,Joseph Velazquez,23,Course_3,68
400,Linda Stewart,18,Course_2,71
401,Caitlin Schaefer,22,Course_2,96
402,Aaron Hunter,75,Course_1,72
403,Brian Hunter,25,Course_1,51
404,Joan Gonzalez,63,Course_5,96
405,Brian Chang,68,Course_3,64
406,Matthew Wells,61,Course_1,57
407,Alicia Wheeler,41,Course_3,95
408,Brian Thomas,45,Course_3,70
409,Jennifer Payne,65,Course_4,97
410,Krystal Tucker,26,Course_1,86
411,Dennis Jones,73,Course_3,68
412,Amy Gillespie,44,Course_5,51
413,Cynthia Norman,78,Course_5,97
414,Renee Sanford,29,Course_2,84
415,Kimberly Haynes,47,Course_3,80
416,Jeffrey Reynolds,19,Course_1,73
417,Laura Rodriguez,40,Course_1,51
418,Kevin Martin,27,Course_1,73
419,Lindsey Dennis,40,Course_2,95
420,Claudia Brown,40,Course_2,65
421,Theresa Miller,63,Course_5,57
422,Jerry Lopez,56,Course_2,69
423,Pamela Ramirez,20,Course_4,61
424,Bradley Phillips,18,Course_3,96
425,Kevin Miller,44,Course_1,59
426,Ruben Hawkins,42,Course_4,77
427,Terri Morris,41,Course_5,84
428,Justin Torres,31,Course_4,92
429,Nicholas Smith,21,Course_2,52
430,Robert Watkins IV,45,Course_1,63
431,Edward Brown,19,Course_3,64
432,James Townsend,29,Course_2,75
433,Kelsey Lee,78,Course_2,63
434,Christina Roach,25,Course_4,81
435,Daniel Payne,50,Course_4,83
436,Kristen Anderson,28,Course_5,95
437,Brittany Gardner,57,Course_1,51
438,Douglas Bradshaw,42,Course_4,51
439,William Hoffman,24,Course_3,89
440,Jeffrey Mckay,30,Course_5,79
441,Chad Moyer,21,Course_4,87
442,Emma Fox,31,Course_5,96
443,Brenda Douglas,75,Course_5,81
444,Jason Smith,28,Course_1,55
445,Carl Schultz,36,Course_1,90
446,Emily Caldwell,68,Course_3,63
447,Tyler Wilson,66,Course_3,88
448,Roger White,38,Course_3,59
449,Patricia Mcdonald,23,Course_5,87
450,Veronica Martin,25,Course_2,65
451,Nancy Benitez,49,Course_3,88
452,Mark Williams,66,Course_2,82
453,Christopher Johnston,29,Course_5,74
454,Nancy Snyder,72,Course_4,65
455,Thomas Madden,31,Course_2,75
456,Thomas Hicks,43,Course_2,81
457,Angela White,29,Course_3,74
458,Alexander Kim,54,Course_1,58
459,William Robinson,55,Course_2,73
460,Michael Bell,21,Course_2,80
461,Tracy Patton,41,Course_1,86
462,Deanna Turner,76,Course_5,96
463,Katherine Watson,46,Course_1,98
464,Megan Peters,62,Course_4,81
465,Nicole Jones,63,Course_2,60
466,Brandon Vazquez,20,Course_3,89
467,Christopher Stephens,66,Course_4,84
468,Erika Thompson,32,Course_3,69
469,Laurie Norris,47,Course_4,76
470,Jackson Dean,37,Course_2,54
471,Chelsea Ward,60,Course_5,95
472,Christopher Morgan,41,Course_2,92
473,Nicholas Browning,56,Course_1,94
474,Robert Garcia,64,Course_4,83
475,Christine Guerrero,25,Course_2,69
476,Kelly Mitchell,33,Course_4,58
477,Jennifer Turner,40,Course_1,87
478,Adam Guzman,48,Course_4,94
479,Jessica Adams,56,Course_1,87
480,Michael Murphy,57,Course_1,73
481,Noah Tyler,39,Course_2,96
482,Mark West,69,Course_3,90
483,James Davis,20,Course_3,91
484,Roberta Lynch,76,Course_2,78
485,Jonathan Jimenez,72,Course_3,53
486,Cory Morris,60,Course_2,97
487,Steven Gentry,47,Course_5,88
488,Ms. Elizabeth Bonilla DDS,45,Course_5,91
489,Anna Rogers,40,Course_2,98
490,Samantha White,68,Course_1,91
491,John Thomas,34,Course_3,71
492,Donna Jordan,23,Course_5,73
493,Kimberly Davis,33,Course_3,74
494,Mrs. Jennifer Vasquez,47,Course_5,92
495,Donna Craig,46,Course_4,72
496,Jose Smith,73,Course_4,87
497,Tyler Walker,47,Course_4,52
498,Helen Guerrero,60,Course_3,91
499,Jennifer Warren,44,Course_4,80
500,Patrick Rodgers,56,Course_5,50
501,Bryan Phillips,69,Course_4,82
502,Christopher Flores,61,Course_1,54
503,Jeremy Butler,59,Course_5,90
504,James Rodriguez,46,Course_1,74
505,Mrs. Michelle Luna,55,Course_3,61
506,Ashley Alvarado,67,Course_1,57
507,Timothy Skinner,38,Course_1,57
508,Kenneth Griffith,74,Course_3,65
509,Patricia Aguilar,42,Course_2,99
510,Christine Carpenter,30,Course_1,65
511,Barbara Santana,32,Course_2,50
512,Julie Cooper,68,Course_1,85
513,Kelsey Scott,33,Course_4,61
514,Aaron Simpson,34,Course_5,56
515,Joseph Brown,49,Course_5,65
516,Dawn Powell,18,Course_5,87
517,Amy Hensley,56,Course_2,83
518,Rachel Chapman,30,Course_2,96
519,Crystal Anderson,36,Course_1,53
520,Christopher Torres,49,Course_4,73
521,Jason Briggs,35,Course_4,52
522,Daniel Young,48,Course_2,89
523,Julia Fox,65,Course_3,97
524,John Dillon,45,Course_3,96
525,Ronald Marshall,43,Course_5,57
526,Travis May,18,Course_1,60
527,Samuel Rodriguez,69,Course_5,60
528,Cassandra Durham,49,Course_5,65
529,Laura Hicks,38,Course_3,64
530,Kathy Scott,61,Course_1,64
531,Pamela Krueger,63,Course_3,89
532,James Martin,39,Course_5,99
533,David Wells,72,Course_4,54
534,Scott Nelson,67,Course_1,89
535,Michele Perez,75,Course_2,66
536,Vickie Allen,47,Course_3,93
537,Amanda Hernandez,69,Course_2,74
538,Kerri Moran,52,Course_1,96
539,Mr. Garrett Collins DDS,47,Course_2,63
540,Chase Mccullough,58,Course_5,56
541,Marcus Moore,75,Course_5,84
542,John Bradley,60,Course_1,55
543,Michelle Kelley,53,Course_1,75
544,Mary Nelson,58,Course_5,62
545,David Hernandez,42,Course_1,56
546,Brandon Myers,28,Course_5,84
547,Wesley Brown,32,Course_1,81
548,Colleen Wolfe,45,Course_4,76
549,Gerald Hanna,61,Course_4,79
550,Larry Petty,22,Course_4,76
551,William Franklin,34,Course_1,95
552,Dustin Harris,79,Course_2,70
553,Alexander Collier,35,Course_2,81
554,Linda Walker,74,Course_4,92
555,Mrs. Christine Montgomery,50,Course_2,82
556,Emma Craig,46,Course_4,89
557,Jacob Contreras,34,Course_3,87
558,Kimberly Ford,60,Course_1,92
559,Tyler Hanson,26,Course_1,54
560,Anna Wall,56,Course_3,67
561,Daniel Hurst,45,Course_5,74
562,Michael Duarte,60,Course_3,93
563,Elizabeth Lee,43,Course_2,65
564,Kelly Hartman,18,Course_4,52
565,Mrs. Cindy Hays,35,Course_2,86
566,Wesley Vargas,75,Course_1,89
567,Christopher Rose,50,Course_5,75
568,Kimberly Leonard,27,Course_4,82
569,Christina Williams,72,Course_5,58
570,John Anderson,50,Course_2,73
571,Wayne Jordan,48,Course_2,64
572,Tabitha Jones,62,Course_4,50
573,Lori Medina,60,Course_2,77
574,Willie Rodriguez,55,Course_2,92
575,Kenneth Arias,43,Course_2,53
576,Drew Thompson,63,Course_4,83
577,Lauren Mcintyre,30,Course_3,59
578,Christopher Bennett,29,Course_4,56
579,Jessica Nicholson,69,Course_5,82
580,Gabriel Taylor,60,Course_3,96
581,Joanna Nguyen,32,Course_3,50
582,Isaac Mullen,27,Course_5,61
583,Wendy Schultz,19,Course_1,85
584,Andrew Davis,70,Course_1,79
585,Rebecca Guzman,73,Course_3,50
586,Larry Hodge,50,Course_4,84
587,Jonathan Fry,69,Course_1,96
588,Krista Rhodes,61,Course_3,53
589,Kevin Woods,26,Course_2,75
590,Kristin Perkins,31,Course_5,90
591,Stephanie Jones,62,Course_5,53
592,Teresa Farrell,61,Course_1,78
593,Christine Gonzalez,60,Course_5,61
594,Amy Taylor,34,Course_5,84
595,Latoya Garcia,36,Course_1,53
596,Ashley Brown,21,Course_1,82
597,Kayla Gordon,76,Course_4,90
598,James White,52,Course_3,62
599,Lindsey Kelly,53,Course_2,94
600,Christina Deleon,32,Course_1,62
601,Felicia Sampson,71,Course_5,99
602,Mark Martin,62,Course_1,83
603,Tonya Price,61,Course_5,92
604,Christine Ryan,71,Course_4,60
605,Tracy Elliott,20,Course_3,94
606,David Mercado,61,Course_3,60
607,Jacqueline Wolf,39,Course_5,58
608,Alejandro Carter,58,Course_2,64
609,Judy Ferguson,76,Course_3,70
610,Jennifer Monroe,42,Course_3,81
611,Steven Reynolds,53,Course_1,69
612,Deborah Olson,53,Course_2,54
613,Jennifer Ellis,44,Course_2,70
614,Paul Mcbride,37,Course_3,69
615,Sean Callahan,45,Course_3,94
616,John Braun,76,Course_3,61
617,Melissa Brock,30,Course_5,71
618,Alyssa Long,75,Course_4,56
619,Crystal Ruiz,46,Course_5,59
620,Alex Martinez,35,Course_4,55
621,Maria Johnston,48,Course_4,52
622,Brenda Love,34,Course_5,97
623,Rachel Taylor,21,Course_2,58
624,Robert Braun,41,Course_3,62
625,John Bell,20,Course_4,94
626,Donna Martin,68,Course_4,69
627,Nicole Garcia,57,Course_3,68
628,Julia Meyer,51,Course_5,62
629,Susan Taylor,39,Course_2,73
630,John Wright,39,Course_2,70
631,Carol Hunter,41,Course_5,84
632,Mary Miller,19,Course_1,88
633,Kyle Mathis,51,Course_4,72
634,Richard Pena,26,Course_4,66
635,Cody Kelley,41,Course_4,84
636,Kathy Dixon,62,Course_5,87
637,Jack Booth,51,Course_1,79
638,Damon Jones,19,Course_3,96
639,Carlos Sherman,18,Course_3,52
640,Sarah Walters,35,Course_5,52
641,Duane Bowen,56,Course_1,77
642,Joel Coleman,70,Course_1,66
643,Shannon Kelly,74,Course_4,84
644,Marcus Delacruz,38,Course_1,97
645,Michael Brown,43,Course_3,75
646,Christina Hines,77,Course_1,61
647,Sarah Estrada,33,Course_5,50
648,Jacob Martinez,31,Course_5,94
649,Jennifer Torres,18,Course_5,51
650,Jennifer Long,55,Course_5,64
651,Elizabeth Green,42,Course_2,71
652,Marcus Montes,26,Course_4,92
653,Taylor Rivera,49,Course_2,57
654,Megan Nicholson,56,Course_4,69
655,Chelsea Chang,31,Course_1,64
656,Kim Savage,36,Course_4,54
657,Daniel Bennett,69,Course_4,83
658,Raymond Garcia,23,Course_5,86
659,Craig Lewis,66,Course_4,73
660,Megan Serrano,46,Course_4,79
661,Mark Coleman II,42,Course_3,50
662,Terry Payne,36,Course_4,93
663,Jennifer Oneal,59,Course_3,94
664,Ryan Duncan,67,Course_3,61
665,Tina Carr,52,Course_4,82
666,Faith Morton,53,Course_5,65
667,Christopher Horton,20,Course_4,72
668,Angela Mann,39,Course_1,62
669,Aaron Gonzalez,60,Course_4,96
670,Cassidy Ferguson,43,Course_4,70
671,Harold Lee,40,Course_4,83
672,Garrett Williams,47,Course_3,82
673,Connie Moore,43,Course_3,79
674,Marissa Carr,79,Course_1,55
675,Lisa Church,50,Course_1,50
676,Travis Johnson,30,Course_2,77
677,Lee Frederick,43,Course_4,94
678,Joseph Gomez,49,Course_5,99
679,Michael Bentley,79,Course_5,90
680,Joseph Patterson,42,Course_1,54
681,Catherine Garcia,18,Course_5,83
682,Gina Lawson,79,Course_1,79
683,Peter Mcintyre,72,Course_4,79
684,Douglas Valdez,22,Course_2,70
685,Nancy Miller,65,Course_4,81
686,Cheryl Hall,24,Course_5,96
687,Amanda Bell,18,Course_5,72
688,Caroline Stewart,69,Course_5,87
689,Julie Foley,57,Course_3,93
690,Edward Mitchell,42,Course_4,89
691,Dylan Williams,32,Course_4,78
692,John Fox,75,Course_2,90
693,Diane Powers,51,Course_3,75
694,Ryan Pena,24,Course_5,54
695,Kevin Mahoney,67,Course_4,58
696,Tiffany Nelson,27,Course_2,76
697,Jackie Pugh,64,Course_2,89
698,Mercedes Wright,74,Course_5,92
699,Victoria Bryant,37,Course_4,83
700,Raymond Chen,69,Course_5,60
701,Eric Charles,59,Course_3,64
702,Daniel Oconnor,31,Course_5,95
703,Ian Ho,41,Course_4,74
704,Daniel Rodriguez,70,Course_4,85
705,Sarah Solomon,53,Course_2,54
706,Shawn Schmidt,40,Course_5,81
707,Kyle Goodman,62,Course_2,89
708,Debbie Fuller,48,Course_2,96
709,Joseph Monroe,21,Course_2,97
710,Bridget Moore,77,Course_4,55
711,Todd Salas,78,Course_1,55
712,Emily Walker,60,Course_2,76
713,Courtney Black,27,Course_2,77
714,Bailey Garza,46,Course_1,58
715,Nancy Williams,24,Course_3,57
716,Haley Cohen,46,Course_4,72
717,Amanda Rich,19,Course_2,61
